score,gender,age,purpose,dest_hdong_cd
1.5917043376336926,여,80,업무,청운효자동
1.7757074518582876,여,80,업무,사직동
1.823262042326333,여,80,업무,삼청동
1.8539399914913084,여,80,업무,부암동
1.8487063483517117,여,80,업무,평창동
2.0542814161419405,여,80,업무,무악동
2.3461751258274566,여,80,업무,교남동
2.4521015993337403,여,80,업무,가회동
2.4420984677547573,여,80,업무,종로1.2.3.4가동
2.51828857595972,여,80,업무,종로5.6가동
1.851412516848707,여,80,업무,이화동
1.844686411471497,여,80,업무,혜화동
1.7938227594187865,여,80,업무,창신제1동
1.7938227594187865,여,80,업무,창신제2동
1.7206541188718314,여,80,업무,창신제3동
1.7206541188718314,여,80,업무,숭인제1동
1.755537168189033,여,80,업무,숭인제2동
1.8058746155494672,여,80,업무,소공동
1.7958714643039653,여,80,업무,회현동
2.111462052784777,여,80,업무,명동
2.5460178037981502,여,80,업무,필동
1.6329936181951397,여,80,업무,장충동
1.6131057931683628,여,80,업무,광희동
2.108882695020709,여,80,업무,을지로동
2.108882695020709,여,80,업무,신당동
2.108882695020709,여,80,업무,다산동
2.108882695020709,여,80,업무,약수동
2.0797168162006274,여,80,업무,청구동
2.0797168162006274,여,80,업무,신당제5동
2.0797168162006274,여,80,업무,동화동
2.0797168162006274,여,80,업무,황학동
2.0797168162006274,여,80,업무,중림동
1.14341511228627,여,80,업무,후암동
1.14341511228627,여,80,업무,용산2가동
1.1999252862613488,여,80,업무,남영동
1.3472950187844595,여,80,업무,청파동
1.4928071699283094,여,80,업무,원효로제1동
1.921779822480629,여,80,업무,원효로제2동
1.9177726326572044,여,80,업무,효창동
1.9164175505393617,여,80,업무,용문동
1.399452634549518,여,80,업무,한강로동
1.4313675575610363,여,80,업무,이촌제1동
1.3597694844799089,여,80,업무,이촌제2동
1.3597694844799089,여,80,업무,이태원제1동
1.337972962204023,여,80,업무,이태원제2동
1.3392235497406673,여,80,업무,한남동
1.4373876435338604,여,80,업무,서빙고동
1.4254693770673423,여,80,업무,보광동
1.3749826398780705,여,80,업무,왕십리제2동
1.413826519990654,여,80,업무,왕십리도선동
1.413826519990654,여,80,업무,마장동
1.413826519990654,여,80,업무,사근동
1.4608996146090723,여,80,업무,행당제1동
1.4608996146090723,여,80,업무,행당제2동
1.4608996146090723,여,80,업무,응봉동
1.4651119898369955,여,80,업무,금호1가동
1.4461536911136332,여,80,업무,금호2.3가동
1.4260785540340897,여,80,업무,금호4가동
1.4285976775941693,여,80,업무,옥수동
1.4285976775941693,여,80,업무,성수1가제1동
1.4285976775941693,여,80,업무,성수1가제2동
1.4285976775941693,여,80,업무,성수2가제1동
1.4285976775941693,여,80,업무,성수2가제3동
1.4285976775941693,여,80,업무,송정동
1.4285976775941693,여,80,업무,용답동
1.4009351949250168,여,80,업무,화양동
1.4009351949250168,여,80,업무,군자동
1.4009351949250168,여,80,업무,중곡제1동
1.4009351949250168,여,80,업무,중곡제2동
1.4009351949250168,여,80,업무,중곡제3동
1.4009351949250168,여,80,업무,중곡제4동
1.4009351949250168,여,80,업무,능동
1.4009351949250168,여,80,업무,광장동
1.4009351949250168,여,80,업무,자양제1동
1.4009351949250168,여,80,업무,자양제2동
1.4009351949250168,여,80,업무,자양제3동
1.4009351949250168,여,80,업무,자양제4동
1.4009351949250168,여,80,업무,구의제1동
1.4009351949250168,여,80,업무,구의제2동
1.4009351949250168,여,80,업무,구의제3동
1.417288835913321,여,80,업무,용신동
1.3487228067353396,여,80,업무,제기동
1.3780714368687734,여,80,업무,전농제1동
1.3780714368687734,여,80,업무,전농제2동
1.3780714368687734,여,80,업무,답십리제1동
1.3780714368687734,여,80,업무,답십리제2동
1.3780714368687734,여,80,업무,장안제1동
1.3780714368687734,여,80,업무,장안제2동
1.3780714368687734,여,80,업무,청량리동
1.3780714368687734,여,80,업무,회기동
1.3780714368687734,여,80,업무,휘경제1동
1.3780714368687734,여,80,업무,휘경제2동
1.3780714368687734,여,80,업무,이문제1동
1.3780714368687734,여,80,업무,이문제2동
1.1753835105535742,여,80,업무,면목제2동
1.1719623609156278,여,80,업무,면목제4동
1.1622815629558476,여,80,업무,면목제5동
1.1622815629558476,여,80,업무,면목본동
1.1622815629558476,여,80,업무,면목제7동
1.1622815629558476,여,80,업무,면목제3.8동
1.1622815629558476,여,80,업무,상봉제1동
1.1622815629558476,여,80,업무,상봉제2동
1.1622815629558476,여,80,업무,중화제1동
1.1376691261015202,여,80,업무,중화제2동
1.1376691261015202,여,80,업무,묵제1동
1.1376691261015202,여,80,업무,묵제2동
1.1376691261015202,여,80,업무,망우본동
1.1376691261015202,여,80,업무,망우제3동
1.1376691261015202,여,80,업무,신내1동
1.1376691261015202,여,80,업무,신내2동
1.3119458065209053,여,80,업무,성북동
1.3119458065209053,여,80,업무,삼선동
1.3119458065209053,여,80,업무,동선동
1.3287516275958577,여,80,업무,돈암제1동
1.3287516275958577,여,80,업무,돈암제2동
1.290695688934424,여,80,업무,안암동
1.290695688934424,여,80,업무,보문동
1.290695688934424,여,80,업무,정릉제1동
1.290695688934424,여,80,업무,정릉제2동
1.290695688934424,여,80,업무,정릉제3동
1.290695688934424,여,80,업무,정릉제4동
1.290695688934424,여,80,업무,길음제1동
1.290695688934424,여,80,업무,길음제2동
1.290695688934424,여,80,업무,종암동
1.290695688934424,여,80,업무,월곡제1동
1.290695688934424,여,80,업무,월곡제2동
1.290695688934424,여,80,업무,장위제1동
1.290695688934424,여,80,업무,장위제2동
1.290695688934424,여,80,업무,장위제3동
1.290695688934424,여,80,업무,석관동
